Year,THER,Name,Location,Teaching,Research,Citations,Industry Income,International Outlook,AVG
2016,600,United Arab Emirates University,UAE,18.8,14.8,21.7,30.1,95,36.08
2016,800,American University of Sharjah,UAE,12.4,10.6,13.3,33.3,95.6,33.04
2017,600,"Khalifa University of Science, Technology and Research",UAE,24.9,12.1,43.2,45.8,93.3,43.86
2017,600,United Arab Emirates University,UAE,24,16,38.7,33.2,95.4,41.46
2017,800,American University of Sharjah,UAE,16.3,12.3,13.6,33.2,95.3,34.14
2018,350,"Khalifa University of Science, Technology and Research",UAE,23.4,18.7,71.4,84.5,97.9,59.18
2018,600,United Arab Emirates University,UAE,22.9,16.9,49.1,38.4,95.1,44.48
2018,800,American University of Sharjah,UAE,15.5,12.5,22.7,35.4,96.2,36.46
2018,1000,University of Sharjah,UAE,18.1,8.9,16.5,36.3,99.3,35.82
2019,350,"Khalifa University of Science, Technology and Research",UAE,25.3,29.1,65.3,100,96.4,63.22
2019,400,United Arab Emirates University,UAE,23.2,18.9,69.5,47.4,94.3,50.66
2019,1000,American University of Sharjah,UAE,18,13.6,20.2,36.4,95.9,36.82
2019,1000,University of Sharjah,UAE,16,10.3,24.4,38.1,99.1,37.58
2020,350,United Arab Emirates University,UAE,23.7,19.1,84.7,43.3,91.6,52.48
2020,400,"Khalifa University of Science, Technology and Research",UAE,27.7,32.9,54,100,95.4,62
2020,800,University of Sharjah,UAE,19.5,11.8,38.8,38.3,99.1,41.5
2020,1000,American University of Sharjah,UAE,19.2,14.8,23,37.5,94.8,37.86
2021,350,United Arab Emirates University,UAE,24.7,21.3,83.6,55.8,89.4,54.96
2021,400,"Khalifa University of Science, Technology and Research",UAE,27.9,34,53.1,100,90.3,61.06
2021,800,University of Sharjah,UAE,20.4,14.6,51.8,37.9,98.9,44.72
2021,1000,American University of Sharjah,UAE,20.6,16.6,28,35.6,93.3,38.82
2021,1000,Zayed University,UAE,17.2,13.3,41.8,33.8,74.1,36.04
2022,400,"Khalifa University of Science, Technology and Research",UAE,31.5,36.9,51.9,100,92.1,62.48
2022,400,United Arab Emirates University,UAE,24.5,21.4,73.3,65.9,88.8,54.78
2022,500,University of Sharjah,UAE,20.2,17.4,80.2,38.8,98.8,51.08
2022,800,Zayed University,UAE,17.6,16.1,64.9,35.9,74,41.7
2022,1000,American University of Sharjah,UAE,21,18.8,35.9,35.5,93.8,41
2023,300,University of Sharjah,UAE,20.5,21.3,96.8,41.4,99.3,55.86
2023,300,United Arab Emirates University,UAE,24.7,29.8,82.3,72.5,88.8,59.62
2023,350,Abu Dhabi University,UAE,32.3,15.4,83.1,36.9,98.5,53.24
2023,400,"Khalifa University of Science, Technology and Research",UAE,31.2,37.1,56.2,94.2,92.8,62.3
2023,600,Zayed University,UAE,17.7,16,79.1,37.6,74.5,44.98
2023,800,American University of Sharjah,UAE,20.9,21.3,45.6,38.9,93.5,44.04
2024,300,Abu Dhabi University,UAE,40.8,30,85.8,25.5,97.8,55.98
2024,300,"Khalifa University of Science, Technology and Research",UAE,31.7,35.9,78.4,95.6,97.4,67.8
2024,350,United Arab Emirates University,UAE,27,34.5,83.2,77.4,89.1,62.24
2024,400,University of Sharjah,UAE,20.7,25.7,93.8,29,98.8,53.6
2024,500,Zayed University,UAE,28.3,25.4,85.7,35,74.5,49.78
2016,800,Alexandria University,Egypt,20.3,8.2,14.1,29.7,33.7,21.2
2016,800,"Cairo University",Egypt,18.9,11.1,11.9,30.3,31,20.64
2016,800,"Suez Canal University",Egypt,22.6,5.9,16,-,31.6,19.025
2017,800,"American University in Cairo",Egypt,24.8,8.7,16.4,33.2,69.4,30.5
2017,800,"Sohag University",Egypt,21.6,1.8,30.9,32.1,43.4,25.96
2017,800,"Suez Canal University",Egypt,16.6,22.5,18.7,32.1,44.9,26.96
2017,801,"Ain Shams University",Egypt,19.2,7.9,9.6,33.3,31.2,20.24
2017,801,Alexandria University,Egypt,16.2,8.7,20.6,34.8,42.2,24.5
2017,801,"Cairo University",Egypt,18.2,11.8,15.8,33.4,30.6,21.96
2017,801,"Mansoura University",Egypt,15.7,2.6,19,32.1,37.1,21.3
2017,801,"South Valley University",Egypt,12.5,4.4,22.2,32.1,43.5,22.94
2018,800,"American University in Cairo",Egypt,23.3,18,24.7,32.5,68.3,33.36
2018,800,"Beni-Suef University",Egypt,18.4,6.4,63.2,31.8,43.3,32.62
2018,1000,"Ain Shams University",Egypt,21.1,8.2,13.5,33,34.9,22.14
2018,1000,Alexandria University,Egypt,16.8,7.9,23.9,33.4,44.5,25.3
2018,1000,"Assiut University",Egypt,20,6.8,15.2,1.1,43.9,17.4
2018,1000,"Cairo University",Egypt,21.5,11.4,22.6,33,32.9,24.28
2018,1000,"Mansoura University",Egypt,17.4,6.5,29.3,40,36.2,25.88
2018,1000,"South Valley University",Egypt,14.7,6.5,18.7,31.7,44.5,23.22
2018,1000,"Suez Canal University",Egypt,18.2,7,31.9,0.5,45.4,20.6
2019,800,"American University in Cairo",Egypt,24.9,23.2,22.2,34.9,66.1,34.26
2019,800,"Benha University",Egypt,14.7,7.7,52.1,35.3,39.9,29.94
2019,800,"Beni-Suef University",Egypt,15,7.1,64.3,34,43.3,32.74
2019,800,"Kafrelsheikh University",Egypt,11.2,7.4,63.8,38.2,46.3,33.38
2019,800,"Mansoura University",Egypt,16.8,8.9,59.2,40.5,43.3,33.74
2019,800,"Suez Canal University",Egypt,17.6,7.6,69,35.3,45.5,35
2019,1000,Alexandria University,Egypt,15.3,10.3,27.4,40.7,44.4,27.62
2019,1000,"Cairo University",Egypt,19.3,12.1,35,35.2,34.8,27.28
2019,1000,"Fayoum University",Egypt,13.6,7.2,30.5,34,39.4,24.94
2019,1000,"Sohag University",Egypt,18.5,7.1,38.9,34.3,43.6,28.48
2019,1000,"Tanta University",Egypt,32.8,7.2,26.1,34.1,40.4,28.12
2019,1001,"Ain Shams University",Egypt,17.6,8.7,17.4,35.5,36.1,23.06
2019,1001,"Al-Azhar University",Egypt,13.3,8.4,12.6,34.1,46.7,23.02
2019,1001,"Assiut University",Egypt,14.1,7.2,19.9,34,44.3,23.9
2019,1001,Helwan University,Egypt,15.7,7.5,17.7,34.3,40.2,23.08
2019,1001,"Menoufia University",Egypt,13.4,7.4,15.5,36.6,36,21.78
2019,1001,Minia University,Egypt,14.3,7,13.2,34.1,44.6,22.64
2019,1001,"South Valley University",Egypt,10.7,7.1,23.2,34.1,44.8,23.98
2019,1001,"Zagazig University",Egypt,12.9,7.2,18.7,34,38.4,22.24
2020,500,Aswan University,Egypt,11.9,8.7,100,34.4,44.6,39.92
2020,500,Mansoura University,Egypt,19.1,9.2,88.1,39.6,44.3,40.06
2020,600,"Suez Canal University",Egypt,19.9,8.7,82.6,37.9,46,39.02
2020,800,"Beni-Suef University",Egypt,14.7,7.4,60.8,34.4,45.9,32.64
2020,800,"Cairo University",Egypt,21.8,13.7,51.5,35.4,35.3,31.54
2020,800,Kafrelsheikh University,Egypt,13,7.9,67.4,38,47.1,34.68
2020,1000,"Ain Shams University",Egypt,21,10.1,31.5,35.6,36,26.84
2020,1000,American University in Cairo,Egypt,27,25.1,20.2,35.5,64.1,34.38
2020,1000,Benha University,Egypt,14.8,7.5,54.6,35.6,42.5,31
2020,1000,Tanta University,Egypt,20.7,7.3,34.7,34.8,40.9,27.68
2020,1001,"Al-Azhar University",Egypt,15.2,8.3,16.5,34.5,46.7,24.24
2020,1001,Alexandria University,Egypt,18.9,13.1,24.1,39.6,44.5,28.04
2020,1001,"Assiut University",Egypt,15.2,9,25.7,34.4,46.7,26.2
2020,1001,Fayoum University,Egypt,15.2,9,25.7,34.4,46.7,26.2
2020,1001,Helwan University,Egypt,14.7,8.6,20,35.1,40.2,23.72
2020,1001,Menoufia University,Egypt,15,7.9,24.9,36.5,35.2,23.9
2020,1001,Minia University,Egypt,15.5,7.2,23.5,34.5,45,25.14
2020,1001,"Sohag University",Egypt,13.8,7.4,35.3,34.7,43.5,26.94
2020,1001,"South Valley University",Egypt,12.8,7.9,37.8,34.6,45.7,27.76
2020,1001,"Zagazig University",Egypt,13.6,7.7,29.6,34.4,38.8,24.82
2021,500,Aswan University,Egypt,12.4,9.1,99.9,33.4,46.9,40.34
2021,500,Mansoura University,Egypt,18.3,10.1,91.9,38.2,46.4,40.98
2021,600,"Suez Canal University",Egypt,19.3,8.3,88.1,35.9,46.2,39.56
2021,800,"Cairo University",Egypt,22.7,15.5,55.7,34.3,35.7,32.78
2021,800,"Kafrelsheikh University",Egypt,13.1,7.8,80,36.5,47,36.88
2021,1000,American University in Cairo,Egypt,25.6,20.7,22.6,34.4,63.5,33.36
2021,1000,Benha University,Egypt,15.3,7.5,57.8,34.4,42.7,31.54
2021,1000,"Beni-Suef University",Egypt,14.6,7.4,61.7,33.4,44.7,32.36
2021,1000,"Sohag University",Egypt,13.7,7.4,50.5,33.5,43.4,29.7
2021,1001,"Ain Shams University",Egypt,22.6,10.5,37.7,34.6,36.2,28.32
2021,1001,"Al-Azhar University",Egypt,14.5,7.7,22.7,33.4,46.8,25.02
2021,1001,Alexandria University,Egypt,18.8,12.9,33.9,38.4,44.8,29.76
2021,1001,"Assiut University",Egypt,16.4,9.8,30.8,33.4,46.7,27.42
2021,1001,Fayoum University,Egypt,15.7,9.1,43,34.7,39.3,28.36
2021,1001,Helwan University,Egypt,15.4,8.6,24.1,34,39.3,24.28
2021,1001,Menoufia University,Egypt,15.2,7.9,32.9,35.2,36.8,25.6
2021,1001,Minia University,Egypt,15.1,7.3,30.5,33.5,44.9,26.26
2021,1001,"Port Said University",Egypt,13.9,7.2,19.6,33.4,42.3,23.28
2021,1001,"South Valley University",Egypt,15.1,9.2,39.8,33.6,44.7,28.48
2021,1001,TanTanta University,Egypt,14.7,7.5,45,33.6,41,28.36
2021,1001,Zagazig University,Egypt,13.7,7.4,42.3,33.4,40.6,27.48
2022,500,Aswan University,Egypt,13.9,9.8,100,34.8,47.9,41.28
2022,600,Kafrelsheikh University,Egypt,14.3,8,93.1,37.5,47.6,40.1
2022,600,Mansoura University,Egypt,18.5,11,88.5,38.8,47,40.76
2022,600,"Suez Canal University",Egypt,19,8.2,90.4,37.2,46.8,40.32
2022,800,"Cairo University",Egypt,23.2,16.7,55.6,35.6,36.9,33.6
2022,1000,American University in Cairo,Egypt,25,29.5,22.5,36,63.4,35.28
2022,1000,Benha University,Egypt,15.5,7.9,54.6,35.4,43.7,31.42
2022,1000,"Beni-Suef University",Egypt,14.9,8.1,68.9,34.8,44.6,34.26
2022,1000,Menoufia University,Egypt,16,8.3,57.2,36.1,39.7,31.46
2022,1000,"South Valley University",Egypt,21.5,10.6,50.1,35,44.6,32.36
2022,1000,Zagazig University,Egypt,14.2,8.2,60.7,34.8,42.1,32
2022,1000,Zewail City of Science and Technolog,Egypt,21.1,15.6,54.7,47.6,28.4,33.48
2022,1200,"Ain Shams University",Egypt,22.1,10.4,43.3,35.9,36.9,29.72
2022,1200,"Al-Azhar University",Egypt,14.4,9.3,41.5,34.8,47.4,29.48
2022,1200,Alexandria University,Egypt,18.5,12.8,43.8,38.6,45.4,31.82
2022,1200,"Assiut University",Egypt,17,9.7,40.3,34.8,46.8,29.72
2022,1200,Fayoum University,Egypt,15,10.6,49.9,38.9,41,31.08
2022,1200,Minia University,Egypt,14.9,8,46.5,34.9,45,29.86
2022,1200,Tanta University,Egypt,14.8,8.1,51.6,34.8,41.1,30.08
2022,1201,"Arab Academy for Science, Technology and Maritime Transport",Egypt,22.8,8.1,21.6,34.9,35.9,24.66
2022,1201,German University in Cairo,Egypt,16,8.9,31,34.8,44.2,26.98
2022,1201,Helwan University,Egypt,15.9,8.3,26.5,35.2,40.5,25.28
2022,1201,"Port Said University",Egypt,14.4,7.9,32.5,34.8,41.8,26.28
2023,500,Aswan University,Egypt,16.7,11.6,98.5,37,47.8,42.32
2023,600,Damietta University,Egypt,17,8.2,99.9,37.5,39,40.32
2023,600,Kafrelsheikh University,Egypt,13.6,8.4,96.7,39.2,48.3,41.24
2023,800,Benha University,Egypt,16.5,8.6,77,37.8,45.1,37
2023,800,Fayoum University,Egypt,15.3,10.4,79.7,40.2,42.4,37.6
2023,800,Mansoura University,Egypt,20.7,11.5,80.6,43.7,48.9,41.08
2023,800,Minia University,Egypt,15.9,8.5,74.9,37.1,46.2,36.52
2023,1000,"Al-Azhar University",Egypt,14.9,9.6,63.3,37,48.7,34.7
2023,1000,Alexandria University,Egypt,18.6,13.7,56.2,40.7,46.1,35.06
2023,1000,American University in Cairo,Egypt,24.4,26.6,32.5,40.4,64.4,37.66
2023,1000,"Beni-Suef University",Egypt,17.9,8.7,67.8,36.9,45.9,35.44
2023,1000,"Cairo University",Egypt,23.6,17.1,51.7,37.6,38.7,33.74
2023,1000,"Suez Canal University",Egypt,18.1,8.2,64.4,39.1,47.5,35.46
2023,1000,Tanta University,Egypt,19.1,8.4,62.8,37.1,42.9,34.06
2023,1000,Zagazig University,Egypt,13.9,8.3,69.5,36.9,43.5,34.42
2023,1000,Zewail City of Science and Technolog,Egypt,23.4,16.4,56.6,41,31.4,33.76
2023,1200,"Ain Shams University",Egypt,24,13.1,47.3,38.1,41.2,32.74
2023,1200,"Assiut University",Egypt,16.9,9.4,47.1,37,46.9,31.46
2023,1200,Menoufia University,Egypt,14.5,8.2,61.4,38.2,41.7,32.8
2023,1200,"Port Said University",Egypt,13.2,8,53.9,37,42.5,30.92
2023,1200,"Sohag University",Egypt,14.2,8.3,52.2,37.4,44.9,31.4
2023,1200,"South Valley University",Egypt,13.7,8.4,53.6,37,46.1,31.76
2023,1500,"Arab Academy for Science, Technology and Maritime Transport",Egypt,23.3,10.4,24,39.8,45.5,28.6
2023,1500,The British University in Egypt,Egypt,15.1,8.7,41.9,37.1,30.1,26.58
2023,1500,German University in Cairo,Egypt,15,8.8,38.4,36.9,43,28.42
2023,1500,Helwan University,Egypt,15.5,8.3,31.1,37.3,39.7,26.38
2024,800,"Egypt-Japan University of Science and Technology (E-JUST)",Egypt,34.2,27.6,62.4,27.7,51.5,40.68
2024,1000,"Al-Azhar University",Egypt,19.2,10.9,69.2,20.4,57.4,35.42
2024,1000,Alexandria University,Egypt,17.9,17.7,58.2,27.2,51.4,34.48
2024,1000,American University in Cairo,Egypt,26.7,24,51.1,23,70.3,39.02
2024,1000,Aswan University,Egypt,16.7,12.1,75.6,18.4,50.4,34.64
2024,1000,"Cairo University",Egypt,25,18.5,59.9,39.2,45.4,37.6
2024,1000,Damietta University,Egypt,16.4,9.4,73,17.4,46.1,32.46
2024,1000,"Kafrelsheikh University",Egypt,14.7,9.1,76.2,20,51.9,34.38
2024,1000,Mansoura University,Egypt,19.5,12.4,68.1,31.8,74.1,41.18
2024,1000,Zagazig University,Egypt,14.2,9.2,71.4,49.8,49,38.72
2024,1200,"Ain Shams University",Egypt,27.9,15.3,45.8,48,51.8,37.76
2024,1200,Benha University,Egypt,15.7,9.2,66.5,18.9,49.1,31.88
2024,1200,"Beni-Suef University",Egypt,16.8,9.8,61.1,19.5,51.4,31.72
2024,1200,Fayoum University,Egypt,15.9,11.9,65.5,24.9,46.4,32.92
2024,1200,Minia University,Egypt,17.2,9.5,66,19.2,49.6,32.3
2024,1200,"Nile University",Egypt,17.3,13.3,59.7,42.4,31.6,32.86
2024,1200,"Suez University",Egypt,13,8.3,70.9,24.4,48.9,33.1
2024,1200,Suez Canal University,Egypt,19.7,8.8,57.6,28.3,50.6,33
2024,1200,Tanta University,Egypt,20.4,9.1,62.6,20,47.8,31.98
2024,1200,Zewail City of Science and Technolog,Egypt,25.8,17.3,53.9,20.5,37.7,31.04
2024,1500,"Arab Academy for Science, Technology and Maritime Transport",Egypt,28.1,12.3,32.9,22.6,53.3,29.84
2024,1500,"Assiut University",Egypt,16.1,10.8,48,22.2,52.9,30
2024,1500,The British University in Egypt,Egypt,17.5,9.5,47.7,16.3,36.9,25.58
2024,1500,Helwan University,Egypt,16.2,8.9,38.8,19.9,47.6,26.28
2024,1500,"Port Said University",Egypt,13.7,8.5,53.7,16.8,46.6,27.86
2024,1500,"Sohag University",Egypt,12.5,9,53.5,18.3,48.8,28.42
2024,1500,"South Valley University",Egypt,16,9.2,53.3,17.7,48.9,29.02
2024,1501,German University in Cairo,Egypt,18.6,8.7,34,16.8,48.6,25.34
