Year,THER,Name,Location,Teaching,Research,Citations,Industry Income,International Outlook,AVG
2016,300,"King Abdulaziz University",Saudi Arabia,23.9,11.8,76.6,73.1,93,55.68
2016,600,"King Fahd University of Petroleum and Minerals",Saudi Arabia,25.4,16.1,24.4,81.2,84.5,46.32
2016,600,"King Saud University",Saudi Arabia,20,17.5,22.3,57.4,75.5,38.54
2017,250,"King Abdulaziz University",Saudi Arabia,26.4,12.4,93.3,66,92.1,58.04
2017,500,"King Fahd University of Petroleum and Minerals",Saudi Arabia,28.7,16.8,36.7,92.8,86.8,52.36
2017,600,"King Saud University",Saudi Arabia,24,27.9,28.7,96.4,76,50.6
2018,250,"King Abdulaziz University",Saudi Arabia,25.6,15.3,97.3,77.8,92,61.6
2018,600,"King Fahd University of Petroleum and Minerals",Saudi Arabia,26.8,12.8,37.4,61.7,85.5,44.84
2018,600,"King Saud University",Saudi Arabia,24.5,27.6,30.7,95.1,78.8,51.34
2018,1000,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,20.7,6.3,5.3,32.3,70.8,27.08
2019,250,"King Abdulaziz University",Saudi Arabia,27.8,16.3,99,77.2,92.9,62.64
2019,600,"King Saud University",Saudi Arabia,23.7,28.2,39.4,93.3,80.9,53.1
2019,800,"King Fahd University of Petroleum and Minerals",Saudi Arabia,28.7,15.4,36.7,65,83.8,45.92
2019,1001,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,19.3,7.2,7,34.5,72,28
2020,250,"King Abdulaziz University",Saudi Arabia,29.5,16.5,96.4,78.9,93.1,62.88
2020,600,"King Fahd University of Petroleum and Minerals",Saudi Arabia,27.2,15.9,51.7,64.4,78.7,47.58
2020,600,"King Saud University",Saudi Arabia,24.6,25.8,49.6,83.4,80.3,52.74
2020,800,"King Khalid University",Saudi Arabia,21.6,7.1,53.6,34.5,82.7,39.9
2020,1001,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,21.1,8,15.3,34.8,73.2,30.48
2021,250,"King Abdulaziz University",Saudi Arabia,30.6,16,95.2,77.7,93.4,62.58
2021,500,"King Saud University",Saudi Arabia,25,26.2,63.5,86.6,80.3,56.32
2021,600,"King Fahd University of Petroleum and Minerals",Saudi Arabia,25.6,15.8,66.4,62.4,77.6,49.56
2021,600,"King Khalid University",Saudi Arabia,22.7,7.3,71.2,33.4,80.9,43.1
2021,1000,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,21.7,8.1,37.2,33.7,72.1,34.56
2021,1001,"King Faisal University",Saudi Arabia,15.6,9.2,22.6,63.1,73,36.7
2021,1001,"Qassim University",Saudi Arabia,16.6,7.4,13.2,34.5,73.6,29.06
2021,1001,"Umm Al-Qura University",Saudi Arabia,29,10,13.2,61.6,81.4,39.04
2022,190,"King Abdulaziz University",Saudi Arabia,36.7,22.9,92.4,74,93.6,63.92
2022,400,"University of Hail",Saudi Arabia,18.1,8.7,100,40.9,82,49.94
2022,400,"King Fahd University of Petroleum and Minerals",Saudi Arabia,25.8,22.4,77.9,74.2,77.6,55.58
2022,400,"King Saud University",Saudi Arabia,26.1,27.8,70.9,82.6,82.3,57.94
2022,500,"University of Tabuk",Saudi Arabia,15.7,7.8,92.5,35.7,72.9,44.92
2022,800,"Prince Sattam Bin Abdulaziz University",Saudi Arabia,17.3,10.5,62.7,35.4,73.2,39.82
2022,800,"Umm Al-Qura University",Saudi Arabia,32.7,13.4,36,59.3,81.6,44.6
2022,1000,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,21.2,8.9,45,35.1,70.2,36.08
2022,1000,"King Khalid University",Saudi Arabia,24.1,8.1,46.5,34.8,81,38.9
2022,1200,"University of Jeddah",Saudi Arabia,17.1,8.4,38.5,34.8,72.2,34.2
2022,1200,"King Faisal University",Saudi Arabia,17.7,7.8,41,39.7,73.7,35.98
2022,1201,"Taif University",Saudi Arabia,15.3,9.7,25.8,36.5,71.8,31.82
2023,101,"King Abdulaziz University",Saudi Arabia,51.7,36.7,91.9,74.2,93.6,69.62
2023,250,"King Fahd University of Petroleum and Minerals",Saudi Arabia,31.4,35.9,80.3,91.8,76.7,63.22
2023,300,"King Saud University",Saudi Arabia,27,32.9,76.3,86.3,85.4,61.58
2023,400,"University of Hail",Saudi Arabia,18,9.2,98.7,42.8,82.3,50.2
2023,400,"Imam Mohammad Ibn Saud Islamic University",Saudi Arabia,29.6,17.7,89.6,40.6,65.1,48.52
2023,500,"Jazan University",Saudi Arabia,17.5,8.5,97,37.1,74.8,46.98
2023,600,"University of Tabuk",Saudi Arabia,16.1,8.6,87.9,41.7,72.9,45.44
2023,800,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,22.1,9.9,64,37.5,72.9,41.28
2023,800,"Jouf University",Saudi Arabia,27.3,17.7,47.7,38.4,75,41.22
2023,800,"Majmaah University",Saudi Arabia,16,8.5,71.4,37,72.6,41.1
2023,800,"Prince Sattam Bin Abdulaziz University",Saudi Arabia,17.7,9.9,80.4,37.8,73.6,43.88
2023,800,"Taif University",Saudi Arabia,16.9,12.4,75.3,38.8,72,43.08
2023,800,"Umm Al-Qura University",Saudi Arabia,30.2,13.3,51.7,59.9,82.2,47.46
2023,1000,"King Faisal University",Saudi Arabia,18.4,9.4,55.4,43,74.1,40.06
2023,1000,King Khalid University,Saudi Arabia,21.8,8.9,52.9,37.9,79.3,40.16
2023,1000,"Princess Nourah bint Abdulrahman University",Saudi Arabia,22.9,13.6,46.3,45.6,85.5,42.78
2023,1000,"Taibah University",Saudi Arabia,15.2,9,55.1,37.2,74.7,38.24
2023,1200,"University of Jeddah",Saudi Arabia,16.5,8.8,48.6,37.9,71.4,36.64
2023,1500,"Qassim University",Saudi Arabia,20.1,8.7,26.4,40.2,76.7,34.42
2024,250,"King Fahd University of Petroleum and Minerals",Saudi Arabia,37.6,38.7,86.3,90.9,84.8,67.66
2024,300,"King Abdulaziz University",Saudi Arabia,37.8,28.6,90.7,46.1,75.4,55.72
2024,500,"Imam Mohammad Ibn Saud Islamic University",Saudi Arabia,43.4,23.4,65.8,21.5,69.8,44.78
2024,500,"King Saud University",Saudi Arabia,31.4,19.9,84.5,48.7,77.2,52.34
2024,500,"Prince Sultan University (PSU)",Saudi Arabia,18.4,20.5,87,37.8,85.8,49.9
2024,600,King Khalid University,Saudi Arabia,29.8,20.1,70.3,48.6,91,51.96
2024,600,"Taif University",Saudi Arabia,18.3,17.8,84.1,20.9,75.6,43.34
2024,800,"University of Hail",Saudi Arabia,22.1,10.5,72.3,23.5,76.8,41.04
2024,800,"Imam Abdulrahman Bin Faisal University",Saudi Arabia,27.7,13.9,70.6,20.8,75.3,41.66
2024,800,"Jouf University",Saudi Arabia,30.5,18.3,58.3,21.3,76.7,41.02
2024,800,"Prince Sattam Bin Abdulaziz University",Saudi Arabia,21.3,12,80.8,23.5,75.8,42.68
2024,800,"Princess Nourah bint Abdulrahman University",Saudi Arabia,26.7,16.3,66.1,28.3,91.7,45.82
2024,800,"Umm Al-Qura University",Saudi Arabia,33.3,14.4,62.2,53.2,73.1,47.24
2024,1000,"Jazan University",Saudi Arabia,21,9.9,67.3,19.4,77.4,39
2024,1000,"King Faisal University",Saudi Arabia,19.9,12.2,68,31.4,75.5,41.4
2024,1000,"Qassim University",Saudi Arabia,36,20.4,42.8,21.6,80.2,40.2
2024,1000,"University of Tabuk",Saudi Arabia,16.9,10.4,69,26.1,75.6,39.6
2024,1200,"University of Jeddah",Saudi Arabia,17.4,9.2,51.5,16,73.2,33.46
2024,1200,Najran University,Saudi Arabia,13,9.8,63.4,16.1,76.1,35.68
2024,1200,Taibah University,Saudi Arabia,14.4,10.2,54.2,18.5,76,34.66
2016,800,"Qatar University",Qatar,9.9,10.3,22.3,55.2,99.9,39.52
2017,600,"Qatar University",Qatar,16.2,16.3,45.2,41.8,99.9,43.88
2018,500,"Qatar University",Qatar,19.8,18.3,60.7,46.1,99.8,48.94
2019,500,"Qatar University",Qatar,18.4,24.1,62.5,53.1,99.8,51.58
2020,500,"Qatar University",Qatar,19.6,27.2,64.7,49.3,99.6,52.08
2021,350,"Qatar University",Qatar,25,30.7,71.7,54,99.4,56.16
2022,350,"Qatar University",Qatar,26,31.7,69,50.7,99.1,55.3
2023,250,"Qatar University",Qatar,27,38.7,79.6,61.4,98.9,61.12
2024,300,"Qatar University",Qatar,31.3,35.6,83.4,61.8,96,61.62
2016,800,"The University of Jordan",Jordan,19,7.7,7.8,28.8,53.7,23.4
2016,800,"Jordan University of Science and Technology",Jordan,16.4,6.2,16.4,31.4,62.2,26.52
2017,800,"Jordan University of Science and Technology",Jordan,10.4,7.6,50.2,33.2,62.4,32.76
2017,801,"The Hashemite University",Jordan,8.2,7.6,20.3,32.1,40.8,21.8
2017,801,"The University of Jordan",Jordan,19.2,6,9.6,33.8,66.4,27
2018,500,"Jordan University of Science and Technology",Jordan,14.8,7,79.4,34.3,64.1,39.92
2018,1000,"The University of Jordan",Jordan,19.3,9.1,11.5,34.8,62.8,27.5
2018,1001,"The Hashemite University",Jordan,11.1,7.9,9.7,31.7,46.1,21.3
2019,400,"Jordan University of Science and Technology",Jordan,15.2,7.8,98.3,36.9,63.6,44.36
2019,1000,"The University of Jordan",Jordan,21.8,9.6,13.2,38.5,65.1,29.64
2019,1001,"The Hashemite University",Jordan,12.4,9.7,6.1,34,47,21.84
2019,1001,"Yarmouk University",Jordan,20,8.1,6.9,35.4,49.4,23.96
2020,400,"Jordan University of Science and Technology",Jordan,15.8,9,100,40.2,62.3,45.46
2020,1000,"Al-Balqa Applied University",Jordan,11.9,8.9,52.8,40.5,46.4,32.1
2020,1000,"The University of Jordan",Jordan,25.1,10.2,29.1,39.3,67.2,34.18
2020,1001,"The Hashemite University",Jordan,13.5,11.3,8.3,34.4,50.9,23.68
2020,1001,"Yarmouk University",Jordan,19.4,8.3,7.1,35.6,48.7,23.82
2021,500,"Jordan University of Science and Technology",Jordan,17,9,99.9,38.8,62.5,45.44
2021,500,"Al-Balqa Applied University",Jordan,12.7,9.9,65.1,41.5,49.4,35.72
2021,1000,"The University of Jordan",Jordan,25.7,12.2,40.4,38.4,67,36.74
2021,1001,"The Hashemite University",Jordan,14.4,11.5,9.8,33.4,50.3,23.88
2021,1001,"Yarmouk University",Jordan,22,9.1,8.7,34.3,47.2,24.26
2022,500,"Jordan University of Science and Technology",Jordan,16.5,10.2,99.2,43.3,58.3,45.5
2022,1000,"Al-Balqa Applied University",Jordan,13.3,11.4,58.2,44.2,48.1,35.04
2022,1000,"The University of Jordan",Jordan,27.9,13,43.8,39.5,66.9,38.22
2022,1201,"The Hashemite University",Jordan,14.8,12.3,17.4,44.8,53.4,28.54
2022,1201,"Yarmouk University",Jordan,25.4,10.4,19.7,36,47.6,27.82
2023,600,"Jordan University of Science and Technology",Jordan,15.7,10.3,92.2,38.2,50.6,41.4
2023,800,"The University of Jordan",Jordan,24.8,12.4,60.9,40.8,59.9,39.76
2023,1000,"Al-Balqa Applied University",Jordan,12.9,11.7,69.8,41.2,41.3,35.38
2023,1200,"Yarmouk University",Jordan,29.4,11.1,33.6,38.2,49.8,32.42
2023,1500,"The Hashemite University",Jordan,14.3,13.5,23.7,42.8,54.5,29.76
2024,800,"The University of Jordan",Jordan,27.8,13.4,62.7,30.8,67.1,40.36
2024,1000,"Jordan University of Science and Technology",Jordan,19.8,13.6,67.3,40.8,61.1,40.52
2024,1200,"Al-Balqa Applied University",Jordan,12,13.6,59.2,22.5,39.3,29.32
2024,1500,"German Jordanian University",Jordan,17.8,11.4,40.6,19.5,69.1,31.68
2024,1500,"The Hashemite University",Jordan,13.2,14.2,40.6,25.4,53.1,29.3
2024,1500,"Mutah University",Jordan,29.7,11.5,27.6,20.9,61.2,30.18
2024,1500,"Yarmouk University",Jordan,19.9,12.9,41.5,20.8,53.1,29.64
2016,800,"University of Marrakech Cadi Ayyad",Morocco,17.4,6.3,12.1,29.2,42.7,21.54
2017,801,"University of Marrakech Cadi Ayyad",Morocco,14.1,6.8,23.4,34.2,41.9,24.08
2017,801,"Mohammed V University of Rabat",Morocco,21.8,7.7,9.8,37.6,31.3,21.64
2017,801,"Sidi Mohamed Ben Abdellah University",Morocco,21.9,6.2,2.4,32.1,21.1,16.74
2018,1000,"University of Marrakech Cadi Ayyad",Morocco,18.1,7.2,25,34.1,41.6,25.2
2018,1000,"Mohammed V University of Rabat",Morocco,24.4,7.9,20,37.8,30,24.02
2018,1001,"Sidi Mohamed Ben Abdellah University",Morocco,25.6,6.3,9.7,31.8,22,19.08
2019,1000,"University of Marrakech Cadi Ayyad",Morocco,15.8,7.8,28.6,36.3,42,26.1
2019,1000,"Mohammed V University of Rabat",Morocco,24.9,8.9,28.6,40.8,28.8,26.4
2019,1000,"Sidi Mohamed Ben Abdellah University",Morocco,22.2,7.2,40.8,34.1,24.7,25.8
2019,1001,"Université Hassan II de Casablanca",Morocco,14.7,6.9,19.5,34.4,38,22.7
2020,800,"Sidi Mohamed Ben Abdellah University",Morocco,25.2,7.6,53.2,34.4,23.6,28.8
2020,1001,"Université Hassan II de Casablanca",Morocco,15.9,7.6,24.8,36.4,34.4,23.82
2020,1001,"Ibn Tofaïl University",Morocco,18.1,8.9,17.9,35.5,25.3,21.14
2020,1001,"University of Marrakech Cadi Ayyad",Morocco,18,8.5,22.7,35.4,41.1,25.14
2020,1001,Mohammed V University of Rabat,Morocco,28.2,9.9,16.7,41.6,27.8,24.84
2021,1000,Sidi Mohamed Ben Abdellah University,Morocco,24,7.7,59,33.5,22.6,29.36
2021,1001,"Université Hassan II de Casablanca",Morocco,18.7,8.7,26.2,35.9,28.6,23.62
2021,1001,"Ibn Tofaïl University",Morocco,19,10.2,27.6,37.9,23.5,23.64
2021,1001,"University of Marrakech Cadi Ayyad",Morocco,17.8,10.2,25.9,34.5,41,25.88
2021,1001,Mohammed V University of Rabat,Morocco,27.2,10.3,14.8,41.6,27.9,24.36
2022,1000,Sidi Mohamed Ben Abdellah University,Morocco,24.6,9.3,54.9,34.8,23,29.32
2022,1200,"Ibn Tofaïl University",Morocco,23.9,10,40.6,38.2,24.8,27.5
2022,1201,Université Hassan 1er,Morocco,14.2,8.7,11.4,34.8,25.7,18.96
2022,1201,"Université Hassan II de Casablanca",Morocco,19,9.3,29,36.7,24.9,23.78
2022,1201,"University of Marrakech Cadi Ayyad",Morocco,18.9,10.4,25.7,35.9,39.7,26.12
2022,1201,Mohammed V University of Rabat,Morocco,28.7,11.6,18.8,43.6,26.7,25.88
2023,1200,"Ibn Tofaïl University",Morocco,18.8,10.9,41.9,38.9,25.4,27.18
2023,1200,"University of Marrakech Cadi Ayyad",Morocco,26.8,10.5,32.7,38.7,37.7,29.28
2023,1200,Sidi Mohamed Ben Abdellah University,Morocco,23.9,10.4,40.7,36.9,23.4,27.06
2023,1500,"Abdelmalek Essaâdi University",Morocco,27.4,9.5,16.2,36.9,28,23.6
2023,1500,"Université Hassan II de Casablanca",Morocco,19.4,8.6,30.3,38.6,24.6,24.3
2023,1500,Mohammed V University of Rabat,Morocco,30.4,13.3,17.4,45.4,27.9,26.88
2023,1500,"Université Chouaïb Doukkali",Morocco,14.4,10.3,29.9,38.5,25.4,23.7
2023,1501,Université Hassan 1er,Morocco,18,8.7,12.2,36.9,22.7,19.7
2024,1200,Sidi Mohamed Ben Abdellah University,Morocco,26.6,11.3,50.6,16.9,25.3,26.14
2024,1500,"Université Hassan II de Casablanca",Morocco,19.5,9.2,39.9,24.6,28.2,24.28
2024,1500,"Ibn Tofaïl University",Morocco,24.6,13,44.8,18.7,28.5,25.92
2024,1500,"University of Marrakech Cadi Ayyad",Morocco,20.5,11.5,36.5,21.6,40.2,26.06
2024,1500,Mohammed V University of Rabat,Morocco,29.1,15,32.2,37.3,32.1,29.14
2024,1501,"Abdelmalek Essaâdi University",Morocco,21.6,9.7,30.1,17.2,29.4,21.6
2024,1501,"Université Chouaïb Doukkali",Morocco,13.4,10.8,28.8,18.9,26.7,19.72
2024,1501,Université Hassan 1er,Morocco,24.9,10.3,19.2,16.6,23.6,18.92
2024,1501,"Université Mohammed Premier",Morocco,19.2,9.9,33.6,16.4,35.1,22.84
2024,1501,"Moulay Ismail University",Morocco,9.6,9.1,40.9,16.5,25.9,20.4
2024,1501,"Université Sultan Moulay Slimane",Morocco,11.8,9.8,29.9,21.1,21.5,18.82